speaker_id,0
44,134
98,134
66,134
79,134
81,134
43,134
89,134
90,134
97,134
63,134
7,134
107,134
17,133
67,133
92,133
101,133
62,133
86,133
6,133
83,133
102,133
65,133
78,133
64,132
75,132
100,131
71,131
94,131
4,130
61,128
58,128
53,128
1,128
69,128
74,128
95,128
84,128
109,128
5,128
59,127
8,127
91,126
72,126
52,125
2,125
3,124
93,96
68,75
70,67
56,67
13,67
103,67
87,67
108,67
18,66
49,66
106,66
77,66
40,66
46,66
12,66
85,66
88,65
39,65
45,65
31,64
32,64
41,64
42,64
96,64
51,64
19,64
20,64
9,64
21,64
36,64
29,64
76,64
24,64
73,64
60,64
104,64
23,63
57,63
35,63
26,63
48,63
27,63
33,63
28,63
54,63
105,62
11,62
55,62
16,62
82,62
80,62
22,62
34,62
50,62
38,61
25,61
14,60
15,60
10,60
47,60
37,59
30,57
99,29
