,,RMSE,RMSE,MAE,MAE,R2,R2
,,mean,std,mean,std,mean,std
subgroup,level,,,,,,
bpm_tertile,high,21.66,3.18,17.615,3.199,-1.987,0.494
bpm_tertile,low,17.04,4.049,15.699,4.015,-10.199,3.811
bpm_tertile,mid,6.357,0.839,5.186,0.769,-1.976,0.88
gender,F,15.993,3.475,12.106,2.663,-0.119,0.126
gender,M,17.098,2.096,13.733,1.808,-0.099,0.226
language,English,16.665,1.843,12.932,1.478,0.033,0.091
language,Tamil,15.65,4.677,13.035,3.985,-0.571,0.595
overall,all,16.701,1.548,13.025,1.297,0.017,0.09
