,,RMSE,RMSE,MAE,MAE,R2,R2
,,mean,std,mean,std,mean,std
subgroup,level,,,,,,
bpm_tertile,high,22.457,2.846,18.609,2.55,-2.283,0.705
bpm_tertile,low,17.873,4.472,16.834,4.102,-10.261,4.316
bpm_tertile,mid,4.207,0.396,3.533,0.415,-0.316,0.15
gender,F,16.791,3.307,12.454,1.989,-0.169,0.103
gender,M,17.135,3.432,13.781,2.212,-0.066,0.077
language,English,18.445,1.959,14.011,1.491,-0.065,0.051
language,Tamil,15.381,2.539,12.19,1.586,-0.051,0.049
overall,all,17.063,1.748,13.128,1.079,-0.011,0.019
